Year,Rank,Artist,Song,valence,danceability,energy,tempo
1962,64,duprees,you belong to me,,,,
1962,65,roy orbison,dream baby,,,,
1962,66,joe henderson,snap your fingers,,,,
1962,69,johnny crawford,cindys birthday,,,,
1962,70,mary wells,you beat me to the punch,,,,
1962,72,crystals,uptown,,,,
1962,73,brenda lee,everybody loves me but you,,,,
1962,74,dickie lee,patches,,,,
1962,75,jimmy clanton,venus in blue jeans,,,,
1962,76,paul anka,love me warm and tender,,,,
1962,77,rick nelson,teen age idol,,,,
1962,78,patsy cline,shes got you,,,,
1962,79,larry finnegan,dear one,,,,
1962,81,walter brennan,old rivers,,,,
1962,82,burl ives,funny way of laughin,,,,
1962,83,billy vaughn,a swingin safari,,,,
1962,84,dick and deedee,tell me,,,,
1962,87,billy joe and the checkmates,percolator,,,,
1962,88,gary us bonds,twist twist senora,,,,
1962,89,jimmy soul,twistin matilda,,,,
1962,91,jimmy smith,walk on the wild side,,,,
1962,94,ikettes,im blue,,,,
1962,95,kingston trio,where have all the flowers gone,,,,
1962,96,eddie hodges,were made to love,,,,
1962,99,ronnie and the hilites,i wish that we were married,,,,
1962,100,beach boys,surfin safari,,,,
1963,1,jimmy gilmer and the fireballs,sugar shack,,,,
1963,2,beach boys,surfin usa,,,,
1963,4,cascades,rhythm of the rain,,,,
1963,5,chiffons,hes so fine,,,,
1963,7,paul and paula,hey paula,,,,
1963,8,little stevie wonder,fingertips ii,,,,
1963,9,village stompers,washington square,,,,
1963,10,impressions,its all right,,,,
1963,12,angels,my boyfriends back,,,,
1963,15,tymes,so much in love,,,,
1963,16,peter paul and mary,puff,,,,
1963,18,dale and grace,im leaving it up to you,,,,
1963,19,nino tempo and april stevens,deep purple,,,,
1963,22,rebels,wild weekend,,,,
1963,24,four seasons,walk like a man,,,,
1963,25,inez foxx,mockingbird,,,,
1963,27,chantays,pipeline,,,,
1963,28,jan and dean,surf city,,,,
1963,30,eydie gorme,blame it on the bossa nova,,,,
1963,31,dovells,you cant sit down,,,,
1963,32,martha and the vandellas,heat wave,,,,
1963,33,randy and the rainbows,denise,,,,
1963,34,rooftop singers,walk right in,,,,
1963,36,beach boys,surfer girl,,,,
1963,37,trini lopez,if i had a hammer,,,,
1963,39,essex,easier said than done,,,,
1963,43,skeeter davis,i cant stay mad at you,,,,
1963,45,ronettes,be my baby,,,,
1963,46,roy orbison,mean woman blues,,,,
1963,47,orlons,south street,,,,
1963,49,major lance,the monkey time,,,,
1963,50,four seasons,candy girl,,,,
1963,51,bill anderson,still,,,,
1963,53,garnet mimms and the enchanters,cry baby,,,,
1963,55,ray charles,busted,,,,
1963,56,crystals,da doo ron ron,,,,
1963,57,shirelles,foolish little girl,,,,
1963,58,lonnie mack,memphis,,,,
1963,60,kal winding,more,,,,
1963,61,rick nelson,fools rush in,,,,
1963,63,bill pursell,our winter love,,,,
1963,65,miracles,youve really got a hold on me,,,,
1963,66,jaynetts,sally go round the roses,,,,
1963,68,crystals,then he kissed me,,,,
1963,73,rufus thomas,walking the dog,,,,
1963,74,ned miller,from a jack to a king,,,,
1963,75,drifters,up on the roof,,,,
1963,76,johnny mathis,what will my mary say,,,,
1963,77,jan bradley,mama didnt lie,,,,
1963,79,the cookies,dont say nothin bad about my baby,,,,
1963,82,allan sherman,hello muddah hello fadduh,,,,
1963,84,roll harris,tie me kangaroo down sport,,,,
1963,85,miracles,mickeys monkey,,,,
1963,87,nat king cole,that sunday that summer,,,,
1963,89,al martino,painted tainted rose,,,,
1963,90,dixiebelles with cornbread and jerry,papa joes,,,,
1963,91,steve lawrence,go away little girl,,,,
1963,92,ray charles,take these chains from my heart,,,,
1963,93,sunny and the sunglows,talk to me,,,,
1963,94,martha and the vandellas,come and get these memories,,,,
1963,97,beach boys,shut down,,,,
1963,98,chiffons,one fine day,,,,
1964,1,beatles,i want to hold your hand,,,,
1964,2,beatles,she loves you,,,,
1964,5,beach boys,i get around,,,,
1964,9,j frank wilson and the cavaliers,last kiss,,,,
1964,10,supremes,where did our love go,,,,
1964,11,barbara streissand,people,,,,
1964,13,beatles,a hard days night,,,,
1964,14,beatles,love me do,,,,
1964,16,beatles,please please me,,,,
1964,17,martha and the vandellas,dancing in the street,,,,
1964,18,billy j kramer and the dakotas,little children,,,,
1964,20,drifters,under the boardwalk,,,,
1964,21,dixie cups,chapel of love,,,,
1964,23,dave clark five,glad all over,,,,
1964,24,four seasons,rag doll,,,,
1964,25,four seasons,dawn,,,,
1964,28,jan and dean,dead mans curve,,,,
1964,29,jay and the americans,come a little bit closer,,,,
1964,31,honeycombs,have i the right,,,,
1964,32,serendipity singers,dont let the rain come down,,,,
1964,33,supremes,baby love,,,,
1964,34,betty everett and jerry butler,let it be me,,,,
1964,38,animals,the house of the rising sun,,,,
1964,39,ronny and the daytona,gto,,,,
1964,40,beatles,twist and shout,,,,
1964,41,johnny rivers,memphis,,,,
1964,42,danny williams,white on white,,,,
1964,43,rip chords,hey little cobra,,,,
1964,45,dave clark five,bits and pieces,,,,
1964,47,major lance,um um um um um um,,,,
1964,48,jan and dean,the little old lady,,,,
1964,49,gerry and the pacemakers,dont let the sun catch you crying,,,,
1964,50,chad and jeremy,a summer song,,,,
1964,51,stan getz and astrud gilberto,the girl from ipanema,,,,
1964,52,beatles,cant buy me love,,,,
1964,53,shangrilas,remember,,,,
1964,54,bobby freeman,cmon and swim,,,,
1964,55,beatles,do you want to know a secret,,,,
1964,56,impressions,keep on pushing,,,,
1964,58,diane renay,navy blue,,,,
1964,59,bachelors,diane,,,,
1964,60,marketts,out of limits,,,,
1964,61,hondells,little honda,,,,
1964,62,bobby goldsboro,see the funny little clown,,,,
1964,63,dave clark five,because,,,,
1964,64,reflections,romeo and juliet,,,,
1964,65,rick nelson,for you,,,,
1964,66,new christy minstrels,today,,,,
1964,67,dave clark five,cant you see that shes mine,,,,
1964,68,shangrilas,leader of the pack,,,,
1964,69,joe hinton,funny,,,,
1964,70,temptations,the way you do the things you do,,,,
1964,72,al martino,i love you more and more every day,,,,
1964,74,four seasons,ronnie,,,,
1964,75,trashmen,surfin bird,,,,
1964,76,tams,what kind of fool,,,,
1964,78,kinks,you really got me,,,,
1964,80,impressions,im so proud,,,,
1964,81,jelly beans,i wanna love him so bad,,,,
1964,86,kingsmen,money,,,,
1964,87,searchers,dont throw your love away,,,,
1964,88,tommy tucker,hiheel sneakers,,,,
1964,89,gerry and the pacemakers,how do you do it,,,,
1964,91,dave clark five,do you love me,,,,
1964,92,robert maxwell his harp and orch,shangrila,,,,
1964,93,gene simmons,haunted houses,,,,
1964,94,jimmy hughes,steal away,,,,
1964,95,beatles,i saw her standing there,,,,
1964,97,billy j kramer and the dakotas,bad to me,,,,
1964,100,searchers,needles and pins,,,,
1965,1,sam the sham and the pharaohs,wooly bully,,,,
1965,3,rolling stones,satisfaction,,,,
1965,4,we five,you were on my mind,,,,
1965,5,righteous brothers,youve lost that lovin feelin,,,,
1965,7,beatles,help,,,,
1965,10,temptations,my girl,,,,
1965,11,beach boys,help me rhonda,,,,
1965,13,jewel aikens,the birds and the bees,,,,
1965,15,jr walker and the all stars,shotgun,,,,
1965,16,sonny and cher,i got you babe,,,,
1965,17,gary lewis and the playboys,this diamond ring,,,,
1965,18,ramsey lewis trio,the in crowd,,,,
1965,20,supremes,stop in the name of love,,,,
1965,21,righteous brothers,unchained melody,,,,
1965,23,seekers,ill never find another you,,,,
1965,24,jay and the americans,cara mia,,,,
1965,25,byrds,mr tambourine man,,,,
1965,30,mccoys,hang on sloopy,,,,
1965,31,beatles,ticket to ride,,,,
1965,32,bert kaempfert and his orch,red roses for a blue lady,,,,
1965,33,james brown and the famous flames,papas got a brand new bag,,,,
1965,34,wayne fontana and the mindbenders,game of love,,,,
1965,36,petula clark,i know a place,,,,
1965,37,supremes,back in my arms again,,,,
1965,39,kingsmen,the jolly green giant,,,,
1965,42,freddie and the dreamers,im telling you now,,,,
1965,43,gerry and the pacemakers,ferry cross the mersey,,,,
1965,44,righteous brothers,just once in my life,,,,
1965,45,johnny rivers,seventh son,,,,
1965,46,hermans hermits,im henry viii i am,,,,
1965,48,yardbirds,for your love,,,,
1965,49,beach boys,california girls,,,,
1965,50,moody blues,go now,,,,
1965,53,glenn yarbrough,baby the rain must fall,,,,
1965,54,dave clark five,catch us if you can,,,,
1965,55,beatles,eight days a week,,,,
1965,56,beau brummels,just a little,,,,
1965,57,ian whitcomb,you turn me on,,,,
1965,58,marvin gaye,ill be doggone,,,,
1965,59,gary lewis and the playboys,save your heart for me,,,,
1965,60,kinks,tired of waiting for you,,,,
1965,61,gary lewis and the playboys,count me in,,,,
1965,62,kinks,all day and all of the night,,,,
1965,65,sir douglas quintet,shes about a mover,,,,
1965,68,martha and the vandellas,nowhere to run,,,,
1965,69,yardbirds,heart full of soul,,,,
1965,70,searchers,love potion number nine,,,,
1965,71,dickle lee,laurie,,,,
1965,72,sonny and cher,baby dont go,,,,
1965,73,turtles,it aint me babe,,,,
1965,74,zombies,tell her no,,,,
1965,76,vic dana,red roses for a blue lady,,,,
1965,78,miracles,the tracks of my tears,,,,
1965,79,brenda lee,too many rivers,,,,
1965,80,dave clark five,i like it like that,,,,
1965,81,bobby goldsboro,little things,,,,
1965,82,peter and gordon,true love ways,,,,
1965,84,fortunes,youve got your troubles,,,,
1965,85,joe tex,hold what youve got,,,,
1965,86,animals,we gotta get out of this place,,,,
1965,87,beau brummels,laugh laugh,,,,
1965,88,rolling stones,the last time,,,,
1965,89,lovin spoonful,do you believe in magic,,,,
1965,91,little anthony and the imperials,take me back,,,,
1965,92,strangeloves,i want candy,,,,
1965,93,miracles,ooo baby baby,,,,
1965,94,sonny,laugh at me,,,,
1965,95,roy head,treat her right,,,,
1965,97,dino desi and billy,im a fool,,,,
1965,98,ad libs,the boy from new york city,,,,
1966,2,association,cherish,,,,
1966,3,righteous brothers,soul and inspiration,,,,
1966,5,and the mysterians,tears,,,,
1966,6,monkees,last train to clarksville,,,,
1966,7,mamas and the papas,monday monday,,,,
1966,8,supremes,you cant hurry love,,,,
1966,9,johnny rivers,poor side of town,,,,
1966,10,mamas and the papas,california dreamin,,,,
1966,11,lovin spoonful,summer in the city,,,,
1966,12,roger williams,born free,,,,
1966,16,beatles,we can work it out,,,,
1966,17,young rascals,good lovin,,,,
1966,18,new vaudeville band,winchester cathedral,,,,
1966,19,tommy james and the shondells,hanky panky,,,,
1966,21,rolling stones,paint it black,,,,
1966,22,petula clark,my love,,,,
1966,23,lou christie,lightin strikes,,,,
1966,24,troggs,wild thing,,,,
1966,25,paul revere and the raiders,kicks,,,,
1966,28,beatles,paperback writer,,,,
1966,29,happenings,see you in september,,,,
1966,30,supremes,you keep me hangin on,,,,
1966,31,sam the sham and the pharaohs,lil red riding hood,,,,
1966,32,mitch ryder and the detroit wheels,devil with a blue dress on and good golly miss molly,,,,
1966,33,beach boys,good vibrations,,,,
1966,34,mindbenders,a groovy kind of love,,,,
1966,37,sandy posey,born a woman,,,,
1966,38,cyrkle,red rubber ball,,,,
1966,40,left banke,walk away renee,,,,
1966,41,lovin spoonful,daydream,,,,
1966,42,outsiders,time wont let me,,,,
1966,43,tommy roe,hooray for hazel,,,,
1966,45,hollies,bus stop,,,,
1966,46,james and bobby purify,im your puppet,,,,
1966,47,bj thomas and the triumphs,im so lonesome i could cry,,,,
1966,48,temptations,aint too proud to beg,,,,
1966,49,standells,dirty water,,,,
1966,51,simon and garfunkel,i am a rock,,,,
1966,52,ray charles,crying time,,,,
1966,54,simon and garfunkel,the sounds of silence,,,,
1966,55,peter and gordon,lady godiva,,,,
1966,56,simon and garfunkel,homeward bound,,,,
1966,57,lovin spoonful,did you ever have to make up your mind,,,,
1966,61,beach boys,sloop john b,,,,
1966,62,rolling stones,th nervous breakdown,,,,
1966,65,temptations,beauty is only skin deep,,,,
1966,66,tbones,no matter what shape,,,,
1966,67,paul revere and the raiders,just like me,,,,
1966,68,deon jackson,love makes the world go round,,,,
1966,70,brenda lee,coming on strong,,,,
1966,71,ray conniff and the singers,somewhere my love,,,,
1966,73,bobby darin,if i were a carpenter,,,,
1966,74,marvelettes,dont mess with bill,,,,
1966,77,dionne warwick,message to michael,,,,
1966,79,beach boys,barbara ann,,,,
1966,80,shadows of knight,gloria,,,,
1966,81,supremes,my world is empty without you,,,,
1966,82,bob dylan,rainy day women  and,,,,
1966,83,sandpipers,guantanamera,,,,
1966,85,shades of blue,oh how happy,,,,
1966,86,peter and gordon,woman,,,,
1966,87,turtles,you baby,,,,
1966,88,vogues,five oclock world,,,,
1966,90,beatles,nowhere man,,,,
1966,92,slim harpo,baby scratch my back,,,,
1966,93,gary lewis and the playboys,shes just my style,,,,
1966,95,bobby fuller four,i fought the law,,,,
1966,96,beatles,yellow submarine,,,,
1966,97,paul revere and the raiders,hungry,,,,
1966,98,herb alpert and the tijuana brass,zorba the greek,,,,
1966,99,yardbirds,shapes of things,,,,
1967,2,box tops,the letter,,,,
1967,3,bobby gentry,ode to billie joe,,,,
1967,4,association,windy,,,,
1967,5,monkees,im a believer,,,,
1967,6,doors,light my fire,,,,
1967,7,nancy sinatra and frank sinatra,somethin stupid,,,,
1967,8,turtles,happy together,,,,
1967,9,young rascals,groovin,,,,
1967,11,music explosion,little bit o soul,,,,
1967,12,tommy james and the shondells,i think were alone now,,,,
1967,15,bobby vee and the strangers,come back when you grow up,,,,
1967,16,buckinghams,kind of a drag,,,,
1967,18,soul survivors,expressway to your heart,,,,
1967,19,sam and dave,soul man,,,,
1967,20,association,never my love,,,,
1967,21,jay and the techniques,apples peaches pumpkin pie,,,,
1967,22,every mothers son,come on down to my boat,,,,
1967,24,rolling stones,ruby tuesday,,,,
1967,25,vicki carr,it must be him,,,,
1967,28,supremes,love is here and now youre gone,,,,
1967,29,supremes,the happening,,,,
1967,30,beatles,all you need is love,,,,
1967,32,marvin gaye and tammi terrell,your precious love,,,,
1967,34,esquires,get on up,,,,
1967,36,martha and the vandella,jimmy mack,,,,
1967,37,happenings,i got rhythm,,,,
1967,38,procol harum,a whiter shade of pale,,,,
1967,39,buckinghams,dont you care,,,,
1967,40,casinos,then you can tell me goodbye,,,,
1967,41,diana ross and the supremes,reflections,,,,
1967,42,hollies,on a carousel,,,,
1967,45,tremeloes,silence is golden,,,,
1967,46,ed ames,my cup runneth over,,,,
1967,47,fifth dimension,up up and away,,,,
1967,49,cowsills,the rain the park and other things,,,,
1967,51,buckinghams,mercy mercy mercy,,,,
1967,53,jackie wilson,higher and higher,,,,
1967,54,young rascals,ive been lonely too long,,,,
1967,55,beatles,penny lane,,,,
1967,56,temptations,youre my everything,,,,
1967,57,seekers,georgy girl,,,,
1967,58,five americans,western union,,,,
1967,60,monkees,a little bit you a little bit me,,,,
1967,62,mamas and the papas,dedicated to the one i love,,,,
1967,63,young rascals,how can i be sure,,,,
1967,64,hollies,carrie ann,,,,
1967,65,blue magoos,nothin yet,,,,
1967,66,easy beats,friday on my mind,,,,
1967,67,barkays,soul finger,,,,
1967,68,spencer davis group,gimme some lovin,,,,
1967,69,hombres,let it out,,,,
1967,70,grass roots,lets live for today,,,,
1967,71,peaches and herb,close your eyes,,,,
1967,72,booker t and the mgs,groovin,,,,
1967,74,monkees,pleasant valley sunday,,,,
1967,77,james brown and the famous flames,cold sweat,,,,
1967,78,turtles,shed rather be with me,,,,
1967,80,ray charles,here we go again,,,,
1967,83,sonny and cher,the beat goes on,,,,
1967,84,royal guardsmen,snoopy vs the red baron,,,,
1967,85,janis ian,societys child,,,,
1967,87,marvin gaye and tammi terrell,aint no mountain high enough,,,,
1967,88,sandy posey,i take it back,,,,
1967,89,tremeloes,here comes my baby,,,,
1967,92,bill cosby,little ole man,,,,
1967,93,electric prunes,i had too much to dream last night,,,,
1967,94,monkees,daydream believer,,,,
1967,96,who,i can see for miles,,,,
1967,97,tommy james and the shondells,mirage,,,,
1968,1,beatles,hey jude,,,,
1968,5,rascals,people got to be free,,,,
1968,7,herb alpert,this guys in love with you,,,,
1968,8,hugo montenegro,the good the bad and the ugly,,,,
1968,9,simon and garfunkel,mrs robinson,,,,
1968,10,archie bell and the drells,tighten up,,,,
1968,13,tommy james and the shondells,mony mony,,,,
1968,14,doors,hello i love you,,,,
1968,15,gary puckett and the union gap,young girl,,,,
1968,16,box tops,cry like a baby,,,,
1968,17,fifth dimension,stoned soul picnic,,,,
1968,19,grass roots,midnight confessions,,,,
1968,20,sly and the family stone,dance to the music,,,,
1968,21,cliff nobles and co,the horse,,,,
1968,22,temptations,i wish it would rain,,,,
1968,23,delfonics,lala means i love you,,,,
1968,24,vogues,turn around look at me,,,,
1968,27,diana ross and the supremes,love child,,,,
1968,28,merrilee rush,angel of the morning,,,,
1968,29,georgie fame,the ballad of bonnie and clyde,,,,
1968,30,mary hopkin,those were the days,,,,
1968,31,steppenwolf,born to be wild,,,,
1968,32,intruders,cowboys to girls,,,,
1968,34,gary puckett and the union gap,lady willpower,,,,
1968,35,rascals,a beautiful morning,,,,
1968,36,sergio mendes and brasil,the look of love,,,,
1968,37,johnny nash,hold me tight,,,,
1968,39,crazy world of arthur brown,fire,,,,
1968,40,troggs,love is all around,,,,
1968,41,gene and debbe,playboy,,,,
1968,45,okaysions,girl watcher,,,,
1968,47,lemon pipers,green tambourine,,,,
1968,49,friend and lover,reach out of the darkness,,,,
1968,50,rolling stones,jumpin jack flash,,,,
1968,52,jose feliciano,light my fire,,,,
1968,53,people,i love you,,,,
1968,55,status quo,pictures of matchstick men,,,,
1968,57,marvin gaye and tammi terrell,aint nothing like the real thing,,,,
1968,58,james brown and the famous flames,i got the feelin,,,,
1968,60,beatles,lady madonna,,,,
1968,63,fireballs,bottle of wine,,,,
1968,64,dells,stay in my corner,,,,
1968,65,willie mitchell,soul serenade,,,,
1968,67,human beinz,nobody but me,,,,
1968,68,sam and dave,i thank you,,,,
1968,69,sergio mendes and brasil,the fool on the hill,,,,
1968,70,eric burdon and the animals,sky pilot,,,,
1968,71,cowsills,indian lake,,,,
1968,72,tommy boyce and bobby hart,i wonder what shes doing tonight,,,,
1968,73,gary puckett and the union gap,over you,,,,
1968,74,lettermen,goin out of my head  cant take my eyes off you,,,,
1968,75,stevie wonder,shoobeedoobedoodaday,,,,
1968,76,irish rovers,the unicorn,,,,
1968,77,vanilla fudge,hangin on,,,,
1968,78,beatles,revolution,,,,
1968,79,gary puckett and the union gap,woman woman,,,,
1968,80,turtles,elenore,,,,
1968,82,marvin gaye and tammi terrell,youre all i need to get by,,,,
1968,83,foundations,baby now that ive found you,,,,
1968,84,sweet inspirations,sweet inspiration,,,,
1968,85,smokey robinson and the miracles,if you can want,,,,
1968,86,mills brothers,cab driver,,,,
1968,87,chambers brothers,time has come today,,,,
1968,89,simon and garfunkel,scarborough fair  canticle,,,,
1968,90,james brown and the famous flames,say it loud im black and im proud,,,,
1968,92,shorty long,here comes the judge,,,,
1968,95,gary lewis and the playboys,sealed with a kiss,,,,
1968,96,big brother and the holding company,piece of my heart,,,,
1968,98,american breed,bend me shape,,,,
1968,99,jerry butler,hey western union man,,,,
1969,1,archies,sugar sugar,,,,
1969,2,fifth dimension,aquarius  let the sunshine in,,,,
1969,3,temptations,i cant get next to you,,,,
1969,4,rolling stones,honky tonk women,,,,
1969,5,sly and the family stone,everyday people,,,,
1969,7,sly and the family stone,hot fun in the summertime,,,,
1969,9,foundations,build me up buttercup,,,,
1969,10,tommy james and the shondells,crimson and clover,,,,
1969,12,tommy james and the shondells,crystal blue persuasion,,,,
1969,13,cowsills,hair,,,,
1969,14,marvin gaye,too busy thinking about my baby,,,,
1969,15,henry mancini and his orch,love theme from romeo and juliet,,,,
1969,16,youngbloods,get together,,,,
1969,17,friends of distinction,grazin in the grass,,,,
1969,20,jr walker and the all stars,what does it take,,,,
1969,21,isley brothers,its your thing,,,,
1969,23,oliver,jean,,,,
1969,25,beatles,get back,,,,
1969,26,zager and evans,in the year,,,,
1969,27,blood sweat and tears,spinning wheel,,,,
1969,29,friends of distinction,going in circles,,,,
1969,30,lettermen,hurt so bad,,,,
1969,36,johnny cash,a boy named sue,,,,
1969,37,smokey robinson and the miracles,baby baby dont cry,,,,
1969,39,zombies,time of the season,,,,
1969,40,fifth dimension,wedding bell blues,,,,
1969,41,bobby sherman,little woman,,,,
1969,44,guess who,these eyes,,,,
1969,45,blood sweat and tears,youve made me so very happy,,,,
1969,47,watts rd street rhythm band,do your thing,,,,
1969,48,grass roots,id wait a million years,,,,
1969,49,doors,touch me,,,,
1969,54,dennis yost and the classics iv,traces,,,,
1969,55,mama cass elliot,its getting better,,,,
1969,56,jay and the americans,this magic moment,,,,
1969,57,temptations,run away child running wild,,,,
1969,58,ventures,hawaii fiveo,,,,
1969,59,glen campbell,galveston,,,,
1969,61,ray stevens,gitarzan,,,,
1969,63,booker t and the mgs,time is tight,,,,
1969,65,winstons,color him father,,,,
1969,67,fruitgum company,indian giver,,,,
1969,68,james brown,mother popcorn,,,,
1969,69,edwin starr,twentyfive miles,,,,
1969,70,new colony six,things id like to say,,,,
1969,72,marvin gaye,thats the way love is,,,,
1969,73,nilsson,everybodys talkin,,,,
1969,75,joe simon,chokin kind,,,,
1969,76,flying machine,smile a little smile for me,,,,
